ID,Brand,Model,Year,Color,Mileage,Price,Condition
3012,Land Rover,Generic Model 2,1998,Black,190385,42464,Used
3013,Kia,Generic Model 1,1995,Green,149644,13034,Used
3014,Toyota,Highlander,2014,Black,91606,10042,New
3015,Honda,CR-V,1996,Blue,170782,71416,New
3016,Honda,CR-V,2019,Blue,176697,74528,New
3017,Volkswagen,Generic Model 3,2022,Red,194359,24086,Used
3018,Hyundai,Generic Model 2,2011,Silver,30450,68746,Used
3019,Subaru,Generic Model 3,2013,Blue,195910,67812,Used
3020,Mercedes-Benz,Generic Model 2,1997,White,63416,67355,New
3021,Honda,Civic,2019,Silver,188310,66081,New
3022,Kia,Generic Model 1,2004,Green,38526,33861,New
3023,Hyundai,Generic Model 2,2021,Silver,144348,61321,Used
3024,Kia,Generic Model 2,2017,Red,61662,64814,New
3025,Mazda,Generic Model 2,2022,Silver,64200,73469,Used
3026,Toyota,RAV4,2011,Black,50485,53491,Used
3027,Porsche,Generic Model 1,2009,Red,152423,75343,New
3028,Tesla,Generic Model 1,2000,Black,124264,67009,Used
3029,Subaru,Generic Model 3,2014,Red,134421,29823,New
3030,Jaguar,Generic Model 2,1992,White,135163,61053,New
3031,Honda,Odyssey,1998,Silver,117905,69797,New
3032,Kia,Generic Model 1,2012,Blue,100423,41459,New
3033,Tesla,Generic Model 2,1998,Green,14363,63734,Used
3034,Chevrolet,Generic Model 3,2005,Blue,193301,13931,New
3035,Audi,Generic Model 1,1996,Green,189411,58409,New
3036,Honda,Fit,2003,White,14476,63361,Used
3037,Jeep,Generic Model 1,2003,White,86904,29677,Used
3038,Land Rover,Generic Model 3,2006,Blue,132268,19937,New
3039,Audi,Generic Model 3,2002,Silver,144423,7901,Used
3040,Toyota,Camry,1990,White,170115,12528,New
3041,Jaguar,Generic Model 3,2013,Red,98422,15798,Used
3042,Volvo,Generic Model 3,2002,Black,41453,23718,New
3043,Nissan,Generic Model 2,2015,Green,3894,24146,New
3044,Lexus,Generic Model 2,1994,Green,66168,37721,New
3045,Subaru,Generic Model 1,2020,Green,56194,68957,Used
3046,Mazda,Generic Model 1,2003,Red,29386,30268,Used
3047,Ford,Explorer,2008,White,106594,38257,Used
3048,Toyota,Highlander,2017,White,5475,13811,New
3049,Hyundai,Generic Model 2,1997,Blue,76271,8826,Used
3050,Volvo,Generic Model 1,2006,Silver,88648,51144,New
3051,Mercedes-Benz,Generic Model 2,2021,Green,170577,48941,New
3052,Mercedes-Benz,Generic Model 1,2012,White,107492,67005,Used
3053,Jeep,Generic Model 3,2006,Silver,51903,31570,New
3054,Mercedes-Benz,Generic Model 2,2000,White,96703,24668,New
3055,Chevrolet,Generic Model 3,2009,White,79643,62953,New
3056,Hyundai,Generic Model 2,2022,Black,123313,58192,Used
3057,Subaru,Generic Model 1,2008,Black,113565,76099,Used
3058,Audi,Generic Model 3,1991,White,17573,77129,Used
3059,Jaguar,Generic Model 3,1993,Blue,180682,9375,Used
3060,Volvo,Generic Model 1,2009,Red,180232,12526,New
3061,Toyota,Camry,1991,Silver,123913,44505,New
3062,Subaru,Generic Model 3,1994,Blue,25819,76991,New
3063,Porsche,Generic Model 3,2006,Silver,19317,18151,Used
3064,Jaguar,Generic Model 3,2004,Blue,110684,25161,New
3065,Land Rover,Generic Model 2,2006,Blue,91327,53589,Used
3066,Nissan,Generic Model 3,2007,Silver,191913,75445,New
3067,Kia,Generic Model 2,2009,Black,94401,52413,Used
3068,Jaguar,Generic Model 2,2018,Blue,27350,55120,New
3069,Porsche,Generic Model 3,2017,Red,131338,7878,Used
3070,BMW,Generic Model 1,1994,Silver,126956,78835,New
3071,Land Rover,Generic Model 3,2002,Silver,164139,52123,New
3072,Jeep,Generic Model 3,2005,Blue,133897,75150,New
3073,Lexus,Generic Model 1,1999,Black,111320,54285,Used
3074,Honda,Pilot,2022,Black,169923,32740,Used
3075,Mazda,Generic Model 2,2004,Silver,36823,41343,Used
3076,Jeep,Generic Model 1,2012,Blue,111695,20799,Used
3077,Volvo,Generic Model 2,1990,Red,117217,33603,New
3078,Audi,Generic Model 1,2005,Silver,97648,21298,New
3079,Jeep,Generic Model 1,2013,Red,70494,8214,New
3080,Nissan,Generic Model 2,2012,Green,166656,76481,Used
3081,Honda,Accord,1999,White,112612,26700,Used
3082,BMW,Generic Model 2,1994,Silver,11070,53972,Used
3083,Kia,Generic Model 1,2021,White,57496,31829,Used
3084,Jeep,Generic Model 3,2002,Silver,171967,29323,Used
3085,Jaguar,Generic Model 3,2010,Black,54797,42454,New
3086,Toyota,Corolla,1996,White,79287,29713,Used
3087,Nissan,Generic Model 2,1992,Red,16633,70223,New
3088,Land Rover,Generic Model 2,1994,Red,62470,33724,Used
3089,Land Rover,Generic Model 1,1993,White,197715,28688,New
3090,Hyundai,Generic Model 3,2011,Blue,75755,22677,Used
3091,Chevrolet,Generic Model 1,1998,Green,117139,24610,Used
3092,Jeep,Generic Model 3,2004,Red,166463,55963,Used
3093,Porsche,Generic Model 1,2009,Green,44707,33990,Used
3094,Subaru,Generic Model 3,1999,Black,196109,43929,New
3095,Audi,Generic Model 3,2021,Black,94535,11170,New
3096,Kia,Generic Model 3,2022,Green,138717,7663,New
3097,Subaru,Generic Model 2,1998,Red,68572,78938,New
3098,Ford,Focus,2020,Black,74239,38331,Used
3099,Tesla,Generic Model 2,1993,Green,141930,10762,Used
3100,Ford,Explorer,2019,Silver,159202,32932,Used
3101,Toyota,Tacoma,2009,Blue,194322,12272,New
3102,Hyundai,Generic Model 2,2001,Blue,165797,37341,New
3103,Chevrolet,Generic Model 1,1991,Blue,99143,78017,Used
3104,BMW,Generic Model 2,2016,White,19373,68013,Used
3105,BMW,Generic Model 2,2015,Silver,2622,64876,Used
3106,Jaguar,Generic Model 2,2019,White,134311,63104,New
3107,Lexus,Generic Model 2,2017,Blue,97266,10124,New
3108,Chevrolet,Generic Model 2,2021,Red,122933,57282,New
3109,Honda,Accord,2008,Red,105260,19589,Used
3110,Mazda,Generic Model 2,1997,Green,171984,55060,Used
3111,Land Rover,Generic Model 1,2017,Green,132324,14558,Used
3112,Nissan,Generic Model 2,2018,White,121002,59123,Used
3113,Volvo,Generic Model 2,2004,Blue,89165,72149,Used
3114,Mazda,Generic Model 2,2017,Silver,85744,68192,Used
3115,Tesla,Generic Model 2,1996,Black,125896,16303,New
3116,Jaguar,Generic Model 1,2022,White,84668,74545,New
3117,Audi,Generic Model 2,2006,Blue,157598,11243,Used
3118,Ford,Focus,1994,Red,50868,48498,Used
3119,Lexus,Generic Model 2,2001,Red,66145,9389,Used
3120,BMW,Generic Model 2,2006,Red,88985,36506,Used
3121,Porsche,Generic Model 3,1999,Blue,144640,60073,New
3122,Honda,Accord,1994,Green,43568,39125,New
3123,Mazda,Generic Model 3,2022,Black,175060,57213,New
3124,Subaru,Generic Model 1,1995,Red,78800,12613,New
3125,Volkswagen,Generic Model 1,2000,Green,83684,26953,New
3126,Land Rover,Generic Model 1,1990,Green,46312,76980,New
3127,BMW,Generic Model 2,2010,White,177208,45286,New
3128,Volkswagen,Generic Model 3,2020,Blue,196380,75117,New
3129,Jeep,Generic Model 3,2006,Black,131446,49116,Used
3130,Kia,Generic Model 1,2006,Blue,122483,28237,Used
3131,Nissan,Generic Model 2,2019,Silver,152268,38105,Used
3132,Porsche,Generic Model 3,2010,Silver,82546,70460,New
3133,Porsche,Generic Model 2,2013,Silver,184764,17045,Used
3134,Audi,Generic Model 3,1993,Black,136378,18148,Used
3135,Ford,Focus,1996,Black,30530,53345,New
3136,Lexus,Generic Model 1,1993,Blue,30001,37154,New
3137,Hyundai,Generic Model 1,2015,Blue,85987,60656,Used
3138,Chevrolet,Generic Model 3,2019,Green,26695,57580,New
3139,Volvo,Generic Model 3,2001,Silver,159806,31517,New
3140,BMW,Generic Model 3,1990,Green,27911,23529,Used
3141,Land Rover,Generic Model 2,2000,Green,38181,5516,Used
3142,Lexus,Generic Model 3,2010,White,55271,5265,New
3143,Subaru,Generic Model 1,2021,Silver,102387,32236,New
3144,Honda,Accord,1998,Green,70367,34868,New
3145,Audi,Generic Model 2,2017,Black,89121,43221,New
3146,Mazda,Generic Model 1,2014,Green,70016,56630,New
3147,Porsche,Generic Model 3,1998,White,146023,43473,Used
3148,Honda,Fit,1993,Silver,88551,33297,Used
3149,Subaru,Generic Model 2,2011,Red,66909,65047,New
3150,Mazda,Generic Model 2,2010,Black,106766,53717,New
3151,BMW,Generic Model 1,1992,Silver,16584,64802,Used
3152,Lexus,Generic Model 1,2016,Black,118281,66104,Used
3153,Honda,Odyssey,2007,Silver,148797,24244,New
3154,Jaguar,Generic Model 3,2000,Blue,25364,28355,New
3155,Kia,Generic Model 2,2004,Red,437,9024,Used
3156,Subaru,Generic Model 2,1994,Blue,96651,47029,New
3157,Jaguar,Generic Model 1,2020,Green,119253,75601,New
3158,Tesla,Generic Model 3,2008,Red,172145,33264,New
3159,BMW,Generic Model 1,2021,Black,26131,55946,New
3160,Mazda,Generic Model 2,2007,Red,13690,74499,Used
3161,Volkswagen,Generic Model 2,2011,Green,85114,33117,Used
3162,Kia,Generic Model 2,2021,Red,16610,72214,New
3163,Volvo,Generic Model 1,1998,White,107399,39052,Used
3164,Kia,Generic Model 2,2022,Blue,132995,17867,Used
3165,BMW,Generic Model 2,1998,Green,119140,43178,Used
3166,BMW,Generic Model 3,1997,Red,103646,14568,New
3167,Honda,CR-V,2012,Black,110064,24191,New
3168,Chevrolet,Generic Model 2,2013,Red,169934,48291,New
3169,Volkswagen,Generic Model 2,2017,Black,172840,39562,New
3170,Kia,Generic Model 1,2003,Green,78786,30454,Used
3171,Kia,Generic Model 1,1994,Red,157718,32624,New
3172,Lexus,Generic Model 1,2018,Silver,67139,37696,Used
3173,Nissan,Generic Model 2,2017,Silver,117760,55625,New
3174,Volkswagen,Generic Model 2,2019,Black,69022,15186,New
3175,Nissan,Generic Model 3,2022,Silver,77453,71272,Used
3176,Volvo,Generic Model 2,2003,Green,43405,64545,New
3177,Tesla,Generic Model 2,1998,Red,53053,48382,New
3178,Kia,Generic Model 3,2021,Red,31572,15609,Used
3179,Hyundai,Generic Model 3,1990,Silver,114953,41730,Used
3180,Ford,Explorer,2002,Blue,13090,5140,New
3181,Mazda,Generic Model 1,1998,Silver,24451,20846,New
3182,Jeep,Generic Model 2,2005,White,171896,68343,New
3183,Tesla,Generic Model 1,1990,Green,161313,72925,Used
3184,Chevrolet,Generic Model 2,2010,Red,47780,41392,New
3185,BMW,Generic Model 3,1990,White,181473,38834,New
3186,Volvo,Generic Model 3,2021,Blue,167011,25483,New
3187,Mazda,Generic Model 3,1994,White,8671,43062,New
3188,Jeep,Generic Model 3,2019,Red,156934,61897,Used
3189,Hyundai,Generic Model 2,1999,Green,79915,40605,Used
3190,Mazda,Generic Model 2,2016,Black,3028,41713,Used
3191,Honda,Fit,2012,Red,155305,36530,New
3192,Honda,CR-V,2022,White,145071,57752,Used
3193,Land Rover,Generic Model 2,2012,White,148615,55936,New
3194,Jeep,Generic Model 1,2021,Black,136215,45574,New
3195,Ford,Focus,2013,White,50090,26346,New
3196,Mazda,Generic Model 3,2011,Silver,8396,25108,Used
3197,Hyundai,Generic Model 2,1996,Black,69814,73494,Used
3198,Hyundai,Generic Model 1,2017,White,23010,44993,New
3199,Ford,Focus,1991,Blue,164495,60975,Used
3200,Subaru,Generic Model 2,2004,Black,155296,46837,New
3201,Honda,Odyssey,1995,Red,23691,30474,New
3202,Toyota,Corolla,2000,Red,150420,59516,New
3203,Jaguar,Generic Model 2,2015,Red,67729,50805,Used
3204,Jaguar,Generic Model 1,2020,Red,41922,34470,New
3205,Jaguar,Generic Model 1,1991,White,142946,9036,New
3206,Tesla,Generic Model 2,1997,Red,87373,51909,Used
3207,Kia,Generic Model 1,2007,Black,43702,62133,New
3208,Honda,Civic,2014,Blue,138806,39985,Used
3209,Jaguar,Generic Model 2,2019,Silver,88481,8104,Used
3210,Jeep,Generic Model 3,1999,Red,84920,65985,New
3211,Porsche,Generic Model 3,2004,Black,50972,74883,Used
3212,Land Rover,Generic Model 1,2017,White,128470,41708,New
3213,Nissan,Generic Model 3,2012,Silver,117984,61964,New
3214,Mazda,Generic Model 2,2008,Blue,144835,63738,New
3215,Toyota,Highlander,1999,White,39796,79637,Used
3216,Lexus,Generic Model 2,1993,Blue,12192,71594,Used
3217,Audi,Generic Model 3,1992,Blue,171297,73229,New
3218,Mazda,Generic Model 3,2000,Silver,130690,75818,Used
3219,Audi,Generic Model 3,2003,Black,44909,5464,Used
3220,Toyota,Highlander,2004,White,105785,28546,Used
3221,Chevrolet,Generic Model 3,2000,Blue,111220,53205,New
3222,Jeep,Generic Model 3,1993,Black,187879,66629,New
3223,Hyundai,Generic Model 3,1996,Silver,135398,51641,Used
3224,BMW,Generic Model 1,2010,Silver,119319,6485,Used
3225,Subaru,Generic Model 1,2002,Silver,1489,37717,Used
3226,Lexus,Generic Model 1,2009,Green,184501,11191,New
3227,Volkswagen,Generic Model 1,2003,White,115491,19520,Used
3228,Honda,Civic,2018,Black,199045,37500,Used
3229,Porsche,Generic Model 3,2005,Silver,23003,47714,New
3230,Hyundai,Generic Model 3,2004,Silver,38289,75497,New
3231,Mazda,Generic Model 3,2007,Red,48908,30998,Used
3232,Jaguar,Generic Model 3,2015,White,39657,6243,New
3233,Kia,Generic Model 1,2000,Green,148364,19720,New
3234,Kia,Generic Model 3,2015,Blue,17075,52577,New
3235,Land Rover,Generic Model 2,2009,Green,186763,41467,Used
3236,Lexus,Generic Model 1,1999,Silver,82593,29469,Used
3237,Mercedes-Benz,Generic Model 2,1991,White,48473,76112,New
3238,Nissan,Generic Model 3,2012,Silver,158482,17686,Used
3239,Honda,Civic,2012,White,113894,46813,New
3240,Jaguar,Generic Model 3,1990,Black,134765,35151,New
3241,Jeep,Generic Model 2,2021,Red,36838,69854,Used
3242,Ford,Mustang,2010,Blue,37992,40615,Used
3243,Porsche,Generic Model 1,2022,Blue,40651,5916,Used
3244,Hyundai,Generic Model 1,2002,Red,161408,58495,New
3245,Honda,Pilot,1993,Silver,51475,52010,New
3246,Jeep,Generic Model 1,1999,Black,192063,44262,Used
3247,Hyundai,Generic Model 1,2006,Red,11890,78283,Used
3248,Volvo,Generic Model 1,2007,Green,198340,57260,Used
3249,Volvo,Generic Model 3,1992,Black,162063,25581,Used
3250,Volvo,Generic Model 2,2003,Red,67711,45106,Used
3251,Toyota,Corolla,2012,Blue,112122,8662,New
3252,Jeep,Generic Model 3,1997,Silver,124986,32400,Used
3253,Porsche,Generic Model 1,2011,Green,118513,12635,Used
3254,Mazda,Generic Model 3,2014,Red,68587,52903,Used
3255,Jaguar,Generic Model 3,2019,White,168420,37937,Used
3256,Porsche,Generic Model 3,1998,Blue,30741,63662,New
3257,Ford,Explorer,2017,White,13366,72907,New
3258,Nissan,Generic Model 3,2021,Black,91543,22318,New
3259,Mazda,Generic Model 2,2007,Green,152850,19693,New
3260,Jaguar,Generic Model 3,2021,Red,183923,20940,New
3261,Jaguar,Generic Model 1,2000,Red,26669,49110,Used
3262,Chevrolet,Generic Model 2,2005,Red,143730,31259,New
3263,Kia,Generic Model 3,2006,Silver,16958,65565,New
3264,Volvo,Generic Model 2,1995,Black,156295,58697,New
3265,Kia,Generic Model 3,2017,White,45430,13388,Used
3266,Porsche,Generic Model 2,2020,Black,197379,33333,Used
3267,Chevrolet,Generic Model 3,2007,Black,95499,30815,New
3268,Jeep,Generic Model 1,1990,Green,62938,56562,New
3269,Kia,Generic Model 3,2015,Black,74790,61390,New
3270,Kia,Generic Model 1,2004,Black,78360,52742,New
3271,Land Rover,Generic Model 2,2002,Silver,169422,15758,Used
3272,Mazda,Generic Model 3,2022,White,16451,78353,Used
3273,Honda,CR-V,2021,Silver,2191,65353,New
3274,Kia,Generic Model 3,2022,Red,22991,73136,Used
3275,Porsche,Generic Model 2,1993,Blue,80912,30044,Used
3276,Nissan,Generic Model 2,2021,White,145192,8382,Used
3277,Chevrolet,Generic Model 1,1991,Black,157549,42687,Used
3278,Volvo,Generic Model 2,1995,Black,192656,12424,Used
3279,Volkswagen,Generic Model 2,2016,Green,151684,6769,New
3280,Volvo,Generic Model 1,2010,White,39667,21735,New
3281,Lexus,Generic Model 3,2012,Silver,59306,68749,New
3282,Jeep,Generic Model 1,1994,Green,103326,29041,Used
3283,Tesla,Generic Model 3,2011,Black,140398,56647,Used
3284,Subaru,Generic Model 2,2002,Silver,105486,27331,New
3285,Jeep,Generic Model 2,2022,Silver,51422,27797,New
3286,Kia,Generic Model 3,2001,Blue,98409,27054,New
3287,Subaru,Generic Model 2,1999,Green,182278,39291,New
3288,Subaru,Generic Model 1,2000,Red,36783,74807,New
3289,Tesla,Generic Model 1,2004,White,177875,72490,Used
3290,Ford,F-150,2015,Black,100408,63857,New
3291,Lexus,Generic Model 3,2016,Red,72815,24354,Used
3292,Mercedes-Benz,Generic Model 3,2010,Blue,69209,27234,Used
3293,Tesla,Generic Model 2,1992,White,21667,58969,Used
3294,Kia,Generic Model 2,2012,Black,650,21979,New
3295,Jeep,Generic Model 3,1995,White,165624,53519,New
3296,Land Rover,Generic Model 3,2016,Blue,117904,74561,New
3297,Volkswagen,Generic Model 1,2008,Blue,54557,40065,New
3298,Mercedes-Benz,Generic Model 3,2021,Red,144991,73687,New
3299,Volkswagen,Generic Model 1,2006,Black,29869,26902,Used
3300,Toyota,Highlander,2002,Silver,31624,7212,Used
3301,Subaru,Generic Model 3,2000,Red,120254,61692,Used
3302,Ford,Escape,1993,Black,25693,55576,Used
3303,Volvo,Generic Model 1,2022,Blue,13472,72476,New
3304,Mazda,Generic Model 3,2017,Green,94882,41070,New
3305,Toyota,RAV4,2019,Blue,84920,64346,New
3306,Mercedes-Benz,Generic Model 2,1990,White,44615,50080,New
3307,BMW,Generic Model 1,2016,Red,175710,75477,New
3308,Land Rover,Generic Model 2,2009,Blue,6529,63353,New
3309,BMW,Generic Model 3,2012,Blue,65526,37333,New
3310,Nissan,Generic Model 1,1997,Red,119309,48867,Used
3311,Hyundai,Generic Model 2,2002,White,191107,75008,Used
3312,Mazda,Generic Model 1,2018,White,187122,20260,Used
3313,Porsche,Generic Model 1,2018,Black,61788,16786,Used
3314,Nissan,Generic Model 3,2007,Silver,87799,66674,New
3315,Kia,Generic Model 3,2014,Blue,120495,17156,New
3316,Nissan,Generic Model 2,1998,Blue,544,70312,Used
3317,Porsche,Generic Model 1,2022,Black,83054,33248,New
3318,Chevrolet,Generic Model 3,1990,Black,94927,45033,New
3319,Volkswagen,Generic Model 2,2004,Green,22967,70581,Used
3320,Kia,Generic Model 3,1993,Green,134609,43280,Used
3321,Honda,Civic,2012,White,32062,36704,New
3322,Jaguar,Generic Model 2,2005,White,143395,63158,New
3323,Volkswagen,Generic Model 3,2014,White,19369,50363,Used
3324,Audi,Generic Model 2,2016,Green,151177,60473,New
3325,BMW,Generic Model 3,1996,Red,67032,52820,Used
3326,Land Rover,Generic Model 2,2011,Blue,172572,30502,New
3327,Ford,Escape,2007,Silver,147311,37649,Used
3328,Toyota,Highlander,2017,Red,38665,64741,New
3329,Chevrolet,Generic Model 3,2020,Blue,170930,38165,New
3330,Audi,Generic Model 3,1996,Blue,68479,34048,New
3331,Kia,Generic Model 3,1990,Green,50813,78622,Used
3332,Audi,Generic Model 2,1997,Green,141765,69293,New
3333,Ford,Escape,2001,Silver,58868,33762,Used
3334,Tesla,Generic Model 3,2001,Red,189171,63956,Used
3335,Volkswagen,Generic Model 3,1992,Blue,143945,56605,Used
3336,Porsche,Generic Model 2,1990,Blue,6625,31089,Used
3337,Chevrolet,Generic Model 1,2008,Black,181559,10870,New
3338,Ford,Edge,2009,Green,136720,22948,Used
3339,Porsche,Generic Model 1,2012,Green,157149,25583,New
3340,Land Rover,Generic Model 1,2021,Black,138814,33842,Used
3341,Kia,Generic Model 1,2022,Green,43518,62706,New
3342,Land Rover,Generic Model 3,2015,Black,409,42667,Used
3343,Subaru,Generic Model 1,2007,Blue,55950,49512,New
3344,BMW,Generic Model 2,2018,Green,159383,63973,Used
3345,Volkswagen,Generic Model 2,2019,Red,114819,33092,New
3346,Porsche,Generic Model 2,2001,White,6897,16033,Used
3347,Ford,Edge,1997,White,98189,69020,New
3348,Nissan,Generic Model 2,1991,Blue,49495,42339,New
3349,Audi,Generic Model 2,2004,Red,46718,40326,Used
3350,Lexus,Generic Model 3,2001,Silver,106474,8028,New
3351,BMW,Generic Model 1,2019,Black,119013,38665,New
3352,Honda,CR-V,2008,Black,61705,24973,Used
3353,Audi,Generic Model 1,2001,White,77867,55512,New
3354,Porsche,Generic Model 3,1996,Green,66039,79012,New
3355,Volkswagen,Generic Model 3,1993,Blue,64569,43738,New
3356,Audi,Generic Model 1,2014,Red,173050,46473,Used
3357,Chevrolet,Generic Model 1,2020,Black,153176,16300,Used
3358,Hyundai,Generic Model 2,1991,Black,38316,73218,New
3359,Ford,Explorer,1998,White,173600,21236,New
3360,Kia,Generic Model 1,2012,White,80400,21374,New
3361,Chevrolet,Generic Model 1,2020,White,162435,64485,Used
3362,Volvo,Generic Model 1,2018,White,43993,17538,New
3363,Chevrolet,Generic Model 2,2017,Green,25470,11799,New
3364,Volvo,Generic Model 1,1991,Green,175897,56051,Used
3365,Toyota,RAV4,1998,Blue,8864,53474,Used
3366,Volkswagen,Generic Model 2,2000,Red,152396,7667,Used
3367,Chevrolet,Generic Model 2,1990,Green,163799,40651,Used
3368,Porsche,Generic Model 2,2010,White,97295,54929,New
3369,Honda,CR-V,1991,Silver,38918,9513,Used
3370,Honda,Civic,2003,Blue,154553,12655,New
3371,Porsche,Generic Model 2,1995,Black,177833,52507,New
3372,Jaguar,Generic Model 1,1993,Blue,161691,41725,New
3373,Volvo,Generic Model 2,2019,White,69078,23168,New
3374,Chevrolet,Generic Model 3,2007,Green,168646,16936,Used
3375,Jaguar,Generic Model 1,1999,Red,121586,49496,New
3376,Lexus,Generic Model 3,1994,White,35232,56967,New
3377,Porsche,Generic Model 2,2018,Blue,164175,58646,New
3378,Chevrolet,Generic Model 3,2011,Green,30639,44353,Used
3379,Porsche,Generic Model 2,1993,Blue,190183,65912,New
3380,Jaguar,Generic Model 3,1992,Green,1112,8517,Used
3381,Subaru,Generic Model 2,2016,Blue,79811,67623,Used
3382,Volvo,Generic Model 3,2019,White,58917,74988,New
3383,Audi,Generic Model 1,2016,Green,145416,41218,New
3384,Tesla,Generic Model 3,1991,Green,68226,39892,New
3385,Audi,Generic Model 1,2001,Black,63857,67747,New
3386,Mercedes-Benz,Generic Model 2,1999,Green,151960,52186,New
3387,Mazda,Generic Model 3,2015,Red,85922,47925,New
3388,Toyota,Prius,1994,Blue,121179,5926,Used
3389,BMW,Generic Model 1,2010,Black,87137,52893,Used
3390,Toyota,Prius,2009,White,18235,56002,New
3391,Tesla,Generic Model 2,2011,White,56826,22303,Used
3392,BMW,Generic Model 3,1991,Black,108052,39529,Used
3393,Honda,Fit,2021,Black,22673,37161,Used
3394,Hyundai,Generic Model 1,1991,Black,94059,16369,Used
3395,Land Rover,Generic Model 1,2005,Silver,33975,54837,New
3396,BMW,Generic Model 2,2015,Red,111705,38345,New
3397,Lexus,Generic Model 3,2017,Silver,87665,11210,New
3398,Land Rover,Generic Model 2,2007,White,51939,39887,New
3399,Mercedes-Benz,Generic Model 2,1995,Silver,72782,17480,New
3400,Subaru,Generic Model 2,2019,Black,167727,75966,New
3401,Chevrolet,Generic Model 3,2001,White,50356,40382,New
3402,Nissan,Generic Model 1,1993,Silver,128738,76200,New
3403,Tesla,Generic Model 1,2012,Red,84616,32305,New
3404,Toyota,Corolla,2021,White,7748,31201,Used
3405,Subaru,Generic Model 1,2003,Black,198854,41985,Used
3406,Jaguar,Generic Model 1,2009,White,2042,57022,New
3407,Hyundai,Generic Model 1,2007,Green,47969,58235,New
3408,Mazda,Generic Model 3,2022,Blue,1995,64533,Used
3409,Toyota,Corolla,1990,White,140278,72911,Used
3410,Volvo,Generic Model 3,1991,Blue,125275,25353,New
3411,Jeep,Generic Model 2,2008,Blue,140956,65557,New
3412,Porsche,Generic Model 2,2001,Black,130290,60579,Used
3413,Subaru,Generic Model 2,2022,Red,164214,13848,New
3414,Chevrolet,Generic Model 3,2003,White,52671,32083,New
3415,Nissan,Generic Model 2,2020,Blue,56223,41445,New
3416,Kia,Generic Model 2,2001,Silver,125930,25212,New
3417,Nissan,Generic Model 2,2011,Blue,74891,79599,Used
3418,Jaguar,Generic Model 1,2004,Green,67127,23696,Used
3419,BMW,Generic Model 1,2020,White,116302,46462,Used
3420,BMW,Generic Model 3,2019,Blue,1613,37597,New
3421,Hyundai,Generic Model 1,1995,Green,141104,13286,New
3422,Kia,Generic Model 3,2021,Green,106625,22609,New
3423,Jeep,Generic Model 3,2003,Silver,57861,13290,New
3424,Mercedes-Benz,Generic Model 1,2020,Blue,189954,5112,Used
3425,Volkswagen,Generic Model 2,2013,Black,130359,27019,Used
3426,Mazda,Generic Model 2,2005,Red,129443,12586,New
3427,Audi,Generic Model 2,1991,Green,54212,50698,Used
3428,Land Rover,Generic Model 1,1992,Green,176098,50701,Used
3429,Honda,Odyssey,1993,Silver,152658,59605,New
3430,Hyundai,Generic Model 3,2020,Black,185008,52940,New
3431,Ford,Edge,2018,Silver,138138,41610,New
3432,Hyundai,Generic Model 2,1996,Green,46335,9350,Used
3433,Subaru,Generic Model 2,2009,Blue,47411,69211,Used
3434,Volvo,Generic Model 2,2016,White,120489,28356,Used
3435,Lexus,Generic Model 3,2009,Black,114917,36909,Used
3436,Chevrolet,Generic Model 3,2002,Green,2508,65628,Used
3437,Toyota,Prius,2016,Green,4148,54197,New
3438,Chevrolet,Generic Model 3,2006,Green,194458,46148,Used
3439,Subaru,Generic Model 2,2020,Black,7813,56175,Used
3440,Land Rover,Generic Model 1,2009,Green,32563,62850,New
3441,Nissan,Generic Model 2,2021,Blue,74662,71479,Used
3442,Subaru,Generic Model 3,1993,Silver,125213,73677,New
3443,Mercedes-Benz,Generic Model 1,2000,Silver,36521,7613,Used
3444,Hyundai,Generic Model 1,2015,Blue,51852,71404,New
3445,Hyundai,Generic Model 3,1998,Green,144765,36179,New
3446,Mazda,Generic Model 3,2011,White,99613,58326,Used
3447,Audi,Generic Model 3,1991,Silver,116907,54670,New
3448,Land Rover,Generic Model 1,1998,Red,143655,18488,New
3449,BMW,Generic Model 1,1997,Silver,51299,8192,New
3450,Honda,Pilot,2001,Red,95582,78565,Used
3451,Lexus,Generic Model 3,1998,Blue,133780,21459,New
3452,Tesla,Generic Model 3,2021,Green,133532,11988,New
3453,Mercedes-Benz,Generic Model 2,1996,Green,64173,60368,Used
3454,Mazda,Generic Model 1,1999,Red,14495,61225,New
3455,Mercedes-Benz,Generic Model 3,2007,Blue,101220,18497,Used
3456,BMW,Generic Model 3,2007,Green,68586,68135,Used
3457,Hyundai,Generic Model 3,2011,Green,186953,45386,Used
3458,Audi,Generic Model 3,2014,Blue,168618,36334,New
3459,Porsche,Generic Model 3,2017,Black,141780,42841,Used
3460,Lexus,Generic Model 3,2010,Silver,110540,45780,Used
3461,Chevrolet,Generic Model 2,2001,Silver,98569,49113,New
3462,Mercedes-Benz,Generic Model 2,2016,Red,14416,48648,Used
3463,Volkswagen,Generic Model 2,2022,Silver,157550,73080,New
3464,Porsche,Generic Model 2,2014,Black,25132,22142,Used
3465,Volvo,Generic Model 2,2004,Red,49286,6441,Used
3466,Kia,Generic Model 2,2008,Red,132737,62448,Used
3467,Toyota,Highlander,1998,White,1421,35893,New
3468,Land Rover,Generic Model 1,2002,White,26598,58667,New
3469,Jaguar,Generic Model 1,2016,Black,182208,18953,New
3470,Chevrolet,Generic Model 2,2000,Black,36271,63203,Used
